U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1603,Math 5 Prerequisite,8,6,2013-09-09,2013-09-20,1
1619,Chapter 3: Decimals,8,6,2013-10-14,2013-11-14,1
1065,Band instrument foundations and techniques,8,7,2011-09-08,2011-10-31,1
1647,Intro to Middle School Music,8,7,2013-09-04,2013-10-30,1
1648,Intro to Handchimes,8,7,2013-10-02,2013-12-20,1
1649,Historical Music,8,7,2013-11-04,2013-12-20,1
1650,World Music,8,7,2014-01-07,2014-06-06,1
1066,Flag Football,8,8,2013-09-04,2013-10-04,1
1067,Pickle Ball,8,8,2013-10-28,2013-11-29,1
1097,Basketball,8,8,2014-01-06,2014-01-31,1
1098,WiffleBall,8,8,2014-03-03,2014-04-11,1
1115,Fitness Month,8,8,2014-02-03,2014-02-28,1
1220,Indoor Soccer,8,8,2013-10-07,2013-10-25,1
1233,Floor Hockey,8,8,2013-12-02,2013-12-20,1
1242,Backyard Games,8,8,2014-04-14,2014-05-30,1
1414,World of Abraham,8,9,2013-09-01,2014-06-01,1
1417,World of Moses,8,9,2013-09-01,2014-06-01,1
1418,World of David,8,9,2013-09-01,2014-06-01,1
1080,Simple Machine 1,8,10,2012-12-01,2012-12-15,1
1153,Independent Science Project,8,10,2013-01-21,2013-03-11,1
1670,Independent Science Project:  ISP,8,10,2014-01-27,2014-03-10,1
1673,Micromystery,8,10,2014-05-19,2014-06-05,1
1086,Civilization Begins in Ancient China,8,11,2012-04-02,2012-04-23,1
