U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1266,"7A2 Rates, Ratios and Proportions",10,6,2012-10-24,2012-11-16,1
1273,7A2 Inequalities,10,6,2012-11-16,2012-12-10,1
1604,7A1 Systems of Equations,10,6,2013-09-01,2014-06-01,1
1607,7A1 Exponents and Polynomials,10,6,2013-09-01,2014-06-01,1
1616,7A1 Factoring Polynomials,10,6,2013-09-01,2014-06-01,1
1617,7A1 Quadratic Equations,10,6,2013-09-01,2014-06-01,1
1434,Introduction to Music Technology,10,7,2013-09-04,2014-01-31,1
1304,Backyard Games,10,8,2014-04-14,2014-05-30,1
1423,Flag Football,10,8,2013-09-04,2013-10-04,1
1426,Indoor Soccer,10,8,2013-10-07,2013-10-25,1
1578,Pickle Ball,10,8,2013-10-28,2013-11-29,1
1581,Floor Hockey,10,8,2013-12-02,2013-12-20,1
1068,Judaism,10,9,2013-09-01,2014-06-01,1
1403,Christianity,10,9,2013-09-01,2014-06-01,1
1405,Islam,10,9,2013-09-01,2014-06-01,1
1121,Human Biology,10,10,2014-11-25,2015-01-25,1
1272,Outdoor laboratory,10,10,2013-09-01,2013-11-01,1
1300,"Motion, Forces, and Energy",10,10,2013-03-13,2013-06-13,1
1672,Independent Science Project:  ISP,10,10,2014-01-27,2014-03-10,1
1181,Civics and American Government,10,11,2012-09-04,2012-10-01,1
1182,Exploration and Settlement,10,11,2012-10-01,2012-10-22,1
1183,Creation of the 13 Colonies,10,11,2012-11-05,2012-11-26,1
1184,Factors Leading to the Revolution,10,11,2012-12-17,2013-01-09,1
1225,Civil War,10,11,2013-05-01,2013-05-31,1
1240,Revolutionary War,10,11,2013-01-09,2013-01-30,1
1379,Creation of the Republic,10,11,2013-09-01,2014-06-01,1
1381,Launching the New Government,10,11,2013-09-01,2014-06-01,1
1398,"Moving West, Jackson, and Native Americans",10,11,2013-09-01,2014-06-01,1
1076,Lujos y Necesidades,10,12,2013-09-01,2014-06-01,1
1077,Las Vacaciones y el tiempo; Leisure and vacation time,10,12,2011-10-14,2011-11-11,1
1078,Childhood: ¿Qué te gustaba hacer de pequeño?,10,12,2013-09-01,2014-06-01,1
1265,¿Cómo es tú escuela?,10,12,2012-09-11,2012-10-11,1
1120,Fahrenheit 451,11,2,2012-09-03,2012-10-12,1
1134,Hamlet,11,2,2013-01-28,2013-04-05,1
